 16 objectives = 1 
 0	47	40	22	23	24	24	0	9	95	2	98	23	20	20	21
47	0	45	24	23	20	21	0	97	8	0	98	23	20	23	23
40	45	0	24	21	22	22	93	94	0	0	0	21	21	20	22
22	24	24	0	22	21	24	94	8	7	1	7	5	93	0	95
23	23	21	22	0	40	46	20	24	24	23	93	0	6	7	6
24	20	22	21	40	0	43	24	21	21	20	0	6	90	97	2
24	21	22	24	46	43	0	22	20	23	22	0	96	94	5	97
0	0	93	94	20	24	22	0	24	24	21	4	8	96	94	96
9	97	94	8	24	21	20	24	0	46	43	23	20	22	23	90
95	8	0	7	24	21	23	24	46	0	43	20	21	23	22	0
2	0	0	1	23	20	22	21	43	43	0	23	24	20	24	0
98	98	0	7	93	0	0	4	23	20	23	0	21	24	21	91
23	23	21	5	0	6	96	8	20	21	24	21	0	44	44	24
20	20	21	93	6	90	94	96	22	23	20	24	44	0	41	21
20	23	20	0	7	97	5	94	23	22	24	21	44	41	0	21
21	23	22	95	6	2	97	96	90	0	0	91	24	21	21	0

0	46	40	24	22	23	24	98	8	5	93	1	21	20	23	24
46	0	47	21	21	20	20	98	2	9	97	1	24	22	24	23
40	47	0	24	23	20	23	7	6	97	96	96	21	24	20	20
24	21	24	0	20	24	22	6	9	90	93	90	91	7	95	4
22	21	23	20	0	41	44	21	24	23	24	6	95	91	90	91
23	20	20	24	41	0	45	22	23	23	24	95	90	8	2	93
24	20	23	22	44	45	0	23	24	22	21	95	4	6	91	1
98	98	7	6	21	22	23	0	20	23	21	92	8	3	6	3
8	2	6	9	24	23	24	20	0	47	43	21	21	20	20	8
5	9	97	90	23	23	22	23	47	0	46	20	21	24	22	94
93	97	96	93	24	24	21	21	43	46	0	21	21	20	23	94
1	1	96	90	6	95	95	92	21	20	21	0	20	20	24	8
21	24	21	91	95	90	4	8	21	21	21	20	0	43	44	24
20	22	24	7	91	8	6	3	20	24	20	20	43	0	44	21
23	24	20	95	90	2	91	6	20	22	23	24	44	44	0	23
24	23	20	4	91	93	1	3	8	94	94	8	24	21	23	0

