16 
0 	23 	22 	23 	23 	9 	5 	96 	6 	9 	94 	90 	22 	22 	22 	22 	
23 	0 	23 	22 	22 	93 	0 	1 	98 	7 	5 	96 	90 	97 	2 	0 	
22 	23 	0 	23 	22 	0 	3 	2 	94 	94 	0 	0 	6 	98 	98 	98 	
23 	22 	23 	0 	20 	0 	8 	5 	95 	0 	98 	97 	2 	93 	9 	0 	
23 	22 	22 	20 	0 	20 	22 	23 	20 	91 	0 	91 	0 	0 	98 	7 	
9 	93 	0 	0 	20 	0 	24 	20 	23 	93 	96 	8 	5 	93 	97 	0 	
5 	0 	3 	8 	22 	24 	0 	22 	20 	3 	6 	92 	4 	0 	96 	96 	
96 	1 	2 	5 	23 	20 	22 	0 	20 	97 	0 	95 	0 	0 	7 	90 	
6 	98 	94 	95 	20 	23 	20 	20 	0 	20 	24 	22 	20 	0 	0 	9 	
9 	7 	94 	0 	91 	93 	3 	97 	20 	0 	22 	22 	24 	0 	91 	98 	
94 	5 	0 	98 	0 	96 	6 	0 	24 	22 	0 	21 	22 	9 	0 	93 	
90 	96 	0 	97 	91 	8 	92 	95 	22 	22 	21 	0 	20 	93 	6 	6 	
22 	90 	6 	2 	0 	5 	4 	0 	20 	24 	22 	20 	0 	24 	21 	23 	
22 	97 	98 	93 	0 	93 	0 	0 	0 	0 	9 	93 	24 	0 	24 	23 	
22 	2 	98 	9 	98 	97 	96 	7 	0 	91 	0 	6 	21 	24 	0 	20 	
22 	0 	98 	0 	7 	0 	96 	90 	9 	98 	93 	6 	23 	23 	20 	0 	

0 	7 	7 	93 	90 	9 	94 	6 	2 	1 	23 	21 	20 	5 	97 	23 	
7 	0 	1 	3 	94 	20 	24 	2 	90 	23 	94 	24 	94 	1 	9 	90 	
7 	1 	0 	23 	23 	22 	96 	24 	24 	90 	96 	96 	20 	21 	24 	7 	
93 	3 	23 	0 	98 	92 	95 	24 	22 	3 	91 	92 	22 	93 	90 	7 	
90 	94 	23 	98 	0 	20 	2 	7 	94 	98 	92 	8 	2 	21 	24 	3 	
9 	20 	22 	92 	20 	0 	24 	9 	3 	20 	5 	21 	91 	21 	23 	9 	
94 	24 	96 	95 	2 	24 	0 	6 	95 	24 	9 	21 	94 	1 	6 	6 	
6 	2 	24 	24 	7 	9 	6 	0 	20 	96 	3 	92 	22 	98 	97 	9 	
2 	90 	24 	22 	94 	3 	95 	20 	0 	7 	95 	95 	24 	94 	92 	4 	
1 	23 	90 	3 	98 	20 	24 	96 	7 	0 	6 	20 	9 	1 	97 	90 	
23 	94 	96 	91 	92 	5 	9 	3 	95 	6 	0 	20 	22 	97 	1 	20 	
21 	24 	96 	92 	8 	21 	21 	92 	95 	20 	20 	0 	21 	91 	93 	20 	
20 	94 	20 	22 	2 	91 	94 	22 	24 	9 	22 	21 	0 	5 	4 	22 	
5 	1 	21 	93 	21 	21 	1 	98 	94 	1 	97 	91 	5 	0 	20 	97 	
97 	9 	24 	90 	24 	23 	6 	97 	92 	97 	1 	93 	4 	20 	0 	2 	
23 	90 	7 	7 	3 	9 	6 	9 	4 	90 	20 	20 	22 	97 	2 	0 	


