 16 objectives = 1 
 0	23	20	24	24	2	0	94	93	93	0	4	21	22	22	23
23	0	20	20	23	0	9	0	95	0	92	94	9	96	9	5
20	20	0	21	20	4	95	95	0	0	4	3	5	96	91	94
24	20	21	0	22	96	8	0	5	9	0	3	98	98	95	9
24	23	20	22	0	23	22	23	21	8	3	1	92	0	98	93
2	0	4	96	23	0	24	24	20	90	91	97	96	9	0	97
0	9	95	8	22	24	0	22	22	6	6	97	0	0	97	0
94	0	95	0	23	24	22	0	21	90	0	98	0	4	4	0
93	95	0	5	21	20	22	21	0	23	23	20	21	90	5	93
93	0	0	9	8	90	6	90	23	0	24	23	24	95	4	0
0	92	4	0	3	91	6	0	23	24	0	23	24	92	94	0
4	94	3	3	1	97	97	98	20	23	23	0	23	91	0	3
21	9	5	98	92	96	0	0	21	24	24	23	0	22	22	23
22	96	96	98	0	9	0	4	90	95	92	91	22	0	20	22
22	9	91	95	98	0	97	4	5	4	94	0	22	20	0	22
23	5	94	9	93	97	0	0	93	0	0	3	23	22	22	0

0	21	23	22	20	93	98	5	7	7	98	93	22	24	21	24
21	0	22	24	22	98	9	98	5	97	7	5	9	4	9	91
23	22	0	22	21	93	5	4	97	97	92	93	91	4	7	5
22	24	22	0	21	4	90	97	91	9	97	93	1	1	4	8
20	22	21	21	0	23	23	22	24	90	93	94	7	97	1	6
93	98	93	4	23	0	21	21	22	8	7	3	3	8	97	3
98	9	5	90	23	21	0	23	22	91	90	1	96	96	1	96
5	98	4	97	22	21	23	0	24	8	95	1	95	92	91	95
7	5	97	91	24	22	22	24	0	23	23	24	24	8	91	6
7	97	97	9	90	8	91	8	23	0	20	24	22	4	91	95
98	7	92	97	93	7	90	95	23	20	0	22	20	7	5	94
93	5	93	93	94	3	1	1	24	24	22	0	22	7	94	93
22	9	91	1	7	3	96	95	24	22	20	22	0	22	22	20
24	4	4	1	97	8	96	92	8	4	7	7	22	0	23	20
21	9	7	4	1	97	1	91	91	91	5	94	22	23	0	20
24	91	5	8	6	3	96	95	6	95	94	93	20	20	20	0

