 16 objectives = 1 
 0	45	22	23	21	21	93	8	1	2	0	97	23	23	20	20
45	0	23	22	24	23	0	90	6	91	94	98	20	21	22	24
22	23	0	20	22	20	0	2	95	4	0	0	91	90	7	6
23	22	20	0	21	24	93	96	0	98	9	5	3	9	97	0
21	24	22	21	0	44	23	21	21	22	0	91	0	0	93	0
21	23	20	24	44	0	23	20	24	24	0	1	0	91	94	97
93	0	0	93	23	23	0	23	24	23	0	6	98	93	8	0
8	90	2	96	21	20	23	0	24	23	5	96	93	4	1	0
1	6	95	0	21	24	24	24	0	41	22	21	20	23	98	5
2	91	4	98	22	24	23	23	41	0	21	22	24	23	3	95
0	94	0	9	0	0	0	5	22	21	0	21	21	23	90	97
97	98	0	5	91	1	6	96	21	22	21	0	22	20	95	2
23	20	91	3	0	0	98	93	20	24	21	22	0	45	21	23
23	21	90	9	0	91	93	4	23	23	23	20	45	0	24	21
20	22	7	97	93	94	8	1	98	3	90	95	21	24	0	21
20	24	6	0	0	97	0	0	5	95	97	2	23	21	21	0

0	42	24	21	23	21	6	9	93	92	98	2	20	22	20	21
42	0	24	20	20	24	97	7	90	7	4	1	20	20	21	23
24	24	0	23	20	24	96	92	4	91	96	95	7	7	9	90
21	20	23	0	24	23	5	3	94	1	8	91	92	8	2	94
23	20	20	24	0	46	23	23	20	24	94	7	94	94	5	94
21	24	24	23	46	0	24	24	20	20	94	93	94	6	4	2
6	97	96	5	23	24	0	24	20	24	94	90	1	4	9	94
9	7	92	3	23	24	24	0	21	24	90	3	4	91	93	94
93	90	4	94	20	20	20	21	0	44	23	24	22	22	1	90
92	7	91	1	24	20	24	24	44	0	24	24	20	22	91	3
98	4	96	8	94	94	94	90	23	24	0	24	22	21	7	1
2	1	95	91	7	93	90	3	24	24	24	0	20	23	3	92
20	20	7	92	94	94	1	4	22	20	22	20	0	47	23	24
22	20	7	8	94	6	4	91	22	22	21	23	47	0	20	24
20	21	9	2	5	4	9	93	1	91	7	3	23	20	0	22
21	23	90	94	94	2	94	94	90	3	1	92	24	24	22	0

