 16 objectives = 1 
 0	44	43	20	22	21	23	91	0	90	94	90	24	21	22	23
44	0	44	24	21	24	21	4	6	0	0	2	21	20	23	23
43	44	0	20	20	23	22	96	91	92	90	0	20	20	22	22
20	24	20	0	20	24	24	0	0	92	92	95	8	0	98	0
22	21	20	20	0	43	42	24	24	22	21	4	94	9	3	90
21	24	23	24	43	0	43	24	23	20	23	8	5	0	7	0
23	21	22	24	42	43	0	23	24	22	20	8	4	7	95	97
91	4	96	0	24	24	23	0	23	21	22	0	9	90	97	98
0	6	91	0	24	23	24	23	0	46	43	21	20	20	23	3
90	0	92	92	22	20	22	21	46	0	45	23	23	24	23	0
94	0	90	92	21	23	20	22	43	45	0	20	21	23	21	6
90	2	0	95	4	8	8	0	21	23	20	0	20	21	21	94
24	21	20	8	94	5	4	9	20	23	21	20	0	40	45	23
21	20	20	0	9	0	7	90	20	24	23	21	40	0	43	20
22	23	22	98	3	7	95	97	23	23	21	21	45	43	0	21
23	23	22	0	90	0	97	98	3	0	6	94	23	20	21	0

0	42	47	23	22	22	20	5	98	7	4	7	20	21	24	20
42	0	46	22	21	20	21	91	91	98	98	93	24	23	24	24
47	46	0	21	21	22	20	2	5	5	6	97	22	20	22	23
23	22	21	0	23	23	20	96	96	5	4	3	90	95	1	94
22	21	21	23	0	42	45	20	20	23	22	91	4	7	92	6
22	20	22	23	42	0	40	21	24	20	24	9	91	93	91	93
20	21	20	20	45	40	0	24	22	23	22	7	91	90	3	2
5	91	2	96	20	21	24	0	21	22	21	93	7	6	2	1
98	91	5	96	20	24	22	21	0	42	47	20	24	23	24	91
7	98	5	5	23	20	23	22	42	0	45	22	22	22	21	93
4	98	6	4	22	24	22	21	47	45	0	21	24	24	24	91
7	93	97	3	91	9	7	93	20	22	21	0	20	23	21	3
20	24	22	90	4	91	91	7	24	22	24	20	0	44	44	23
21	23	20	95	7	93	90	6	23	22	24	23	44	0	46	20
24	24	22	1	92	91	3	2	24	21	24	21	44	46	0	20
20	24	23	94	6	93	2	1	91	93	91	3	23	20	20	0

