16 
0 	22 	21 	21 	5 	0 	96 	97 	95 	9 	2 	98 	0 	7 	96 	0 	
22 	0 	23 	24 	91 	0 	90 	91 	97 	0 	0 	0 	7 	4 	0 	91 	
21 	23 	0 	22 	4 	98 	95 	4 	0 	0 	98 	0 	0 	9 	1 	98 	
21 	24 	22 	0 	9 	6 	91 	0 	5 	98 	91 	96 	98 	3 	5 	6 	
5 	91 	4 	9 	0 	21 	23 	24 	93 	2 	5 	5 	5 	95 	96 	1 	
0 	0 	98 	6 	21 	0 	22 	21 	92 	6 	92 	7 	95 	96 	98 	5 	
96 	90 	95 	91 	23 	22 	0 	21 	97 	96 	0 	98 	91 	95 	95 	9 	
97 	91 	4 	0 	24 	21 	21 	0 	96 	1 	0 	0 	95 	0 	98 	0 	
95 	97 	0 	5 	93 	92 	97 	96 	0 	21 	21 	22 	0 	0 	8 	0 	
9 	0 	0 	98 	2 	6 	96 	1 	21 	0 	20 	21 	4 	0 	3 	4 	
2 	0 	98 	91 	5 	92 	0 	0 	21 	20 	0 	22 	94 	96 	96 	95 	
98 	0 	0 	96 	5 	7 	98 	0 	22 	21 	22 	0 	9 	0 	4 	0 	
0 	7 	0 	98 	5 	95 	91 	95 	0 	4 	94 	9 	0 	23 	21 	20 	
7 	4 	9 	3 	95 	96 	95 	0 	0 	0 	96 	0 	23 	0 	21 	24 	
96 	0 	1 	5 	96 	98 	95 	98 	8 	3 	96 	4 	21 	21 	0 	24 	
0 	91 	98 	6 	1 	5 	9 	0 	0 	4 	95 	0 	20 	24 	24 	0 	

0 	5 	95 	8 	24 	95 	94 	2 	2 	90 	96 	22 	95 	24 	93 	5 	
5 	0 	94 	93 	95 	5 	8 	24 	92 	92 	23 	3 	92 	92 	7 	23 	
95 	94 	0 	97 	93 	20 	1 	90 	20 	9 	95 	93 	22 	93 	98 	2 	
8 	93 	97 	0 	1 	97 	24 	1 	1 	22 	93 	95 	97 	97 	22 	5 	
24 	95 	93 	1 	0 	95 	90 	91 	4 	98 	96 	23 	95 	21 	7 	8 	
95 	5 	20 	97 	95 	0 	92 	6 	22 	5 	2 	9 	22 	95 	2 	1 	
94 	8 	1 	24 	90 	92 	0 	91 	6 	22 	97 	92 	3 	1 	23 	6 	
2 	24 	90 	1 	91 	6 	91 	0 	6 	98 	23 	1 	9 	5 	98 	23 	
2 	92 	20 	1 	4 	22 	6 	6 	0 	95 	96 	2 	23 	5 	98 	96 	
90 	92 	9 	22 	98 	5 	22 	98 	95 	0 	2 	3 	1 	98 	22 	3 	
96 	23 	95 	93 	96 	2 	97 	23 	96 	2 	0 	1 	96 	4 	7 	23 	
22 	3 	93 	95 	23 	9 	92 	1 	2 	3 	1 	0 	93 	21 	97 	4 	
95 	92 	22 	97 	95 	22 	3 	9 	23 	1 	96 	93 	0 	7 	98 	1 	
24 	92 	93 	97 	21 	95 	1 	5 	5 	98 	4 	21 	7 	0 	9 	6 	
93 	7 	98 	22 	7 	2 	23 	98 	98 	22 	7 	97 	98 	9 	0 	7 	
5 	23 	2 	5 	8 	1 	6 	23 	96 	3 	23 	4 	1 	6 	7 	0 	


